exercise_type,exercise_category,target_muscle_group,Difficulty,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
MetaBurn Double Lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Robertson Sprinter Step-Up,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Front Kick-Through,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Lunge high-knee clap,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Plyo Split Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Reverse Burpee,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Reverse Burpee to Regular Burpee,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Reverse Burpee Tuck Jump,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Sprawlee,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Squat Hold,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Squat Jump,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Squat Pulse,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Sprinter burpee,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Shuttle run training,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Medicine ball ninja,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
FYR Air Ball Plus Medicine Ball Jumping Sprawl,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Medicine ball cowboy squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Medicine ball jumping jill,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Alternate Leg Diagonal Bound,Plyometrics,Quadriceps,Beginner,,,,,,,,,,,
Sit Squats,Stretching,Quadriceps,Beginner,,,,,,,,,,,
Frog Hops,Stretching,Quadriceps,Beginner,,,,,,,,,,,
Dumbbell lateral hop to sprint,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Smith machine lunge sprint,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Sissy squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Wall ball toss,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Bosu Ball Squat,Strength,Quadriceps,Beginner,,,,,,,,,,,
Exercise ball Bulgarian split squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Internal Rotation with Band,Strength,Shoulders,Beginner,,,,,,,,,,,
Band Pull Apart,Strength,Shoulders,Intermediate,,,,,,,,,,,
Back Flyes - With Bands,Strength,Shoulders,Beginner,,,,,,,,,,,
Lateral Raise - With Bands,Strength,Shoulders,Beginner,,,,,,,,,,,
Shoulder Press - With Bands,Strength,Shoulders,Beginner,,,,,,,,,,,
External Rotation with Band,Strength,Shoulders,Beginner,,,,,,,,,,,
FYR Band Pull-Apart,Strength,Shoulders,Intermediate,,,,,,,,,,,
HM Lateral Raise,Strength,Shoulders,Intermediate,,,,,,,,,,,
Rusin Banded Over-And-Back,Strength,Shoulders,Intermediate,,,,,,,,,,,
Rusin Banded Face Pull,Strength,Shoulders,Intermediate,,,,,,,,,,,
UP Band Pull-Apart,Strength,Shoulders,Intermediate,,,,,,,,,,,
Jordan Shallow Band-Resisted Thread the Needle,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Seated Banded Barbell Shoulder Press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Band shoulder press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Band lateral raise,Strength,Shoulders,Intermediate,,,,,,,,,,,
Band upright row,Strength,Shoulders,Intermediate,,,,,,,,,,,
Staggered-stance band shoulder press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Single-arm banded landmine press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Band front raise rear fly row combo,Strength,Shoulders,Intermediate,,,,,,,,,,,
Jordan Shallow Foam Roller Thoracic Extension,Strength,Shoulders,Intermediate,,,,,,,,,,,
Jordan Shallow Thread the Needle (with Foam Roller),Strength,Shoulders,Intermediate,,,,,,,,,,,
Clean and press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Clean and jerk,Olympic Weightlifting,Shoulders,Intermediate,,,,,,,,,,,
Military press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Seated barbell shoulder press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Snatch-Grip Behind-The-Neck Overhead Press,Strength,Shoulders,Beginner,,,,,,,,,,,
Standing Bradford press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Barbell Shoulder Press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Barbell rear delt bent-over row,Strength,Shoulders,Intermediate,,,,,,,,,,,
Barbell upright row,Strength,Shoulders,Intermediate,,,,,,,,,,,
Bradford/Rocky Presses,Strength,Shoulders,Beginner,,,,,,,,,,,
Lying rear delt fly,Strength,Shoulders,Intermediate,,,,,,,,,,,
Machine Shoulder (Military) Press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Standing Barbell Press Behind Neck,Strength,Shoulders,Intermediate,,,,,,,,,,,
Barbell front raise,Strength,Shoulders,Intermediate,,,,,,,,,,,
Overhead bar front raise,Strength,Shoulders,Intermediate,,,,,,,,,,,
Incline barbell shoulder protraction,Strength,Shoulders,Intermediate,,,,,,,,,,,
Behind-the-head push-press,Olympic Weightlifting,Shoulders,Intermediate,,,,,,,,,,,
Rack Delivery,Olympic Weightlifting,Shoulders,Beginner,,,,,,,,,,,
Smith Incline Shoulder Raise,Strength,Shoulders,Beginner,,,,,,,,,,,
Tall Muscle Snatch,Olympic Weightlifting,Shoulders,Beginner,,,,,,,,,,,
Axle Clean And Press,Strongman,Shoulders,Beginner,,,,,,,,,,,
Jerk Balance,Olympic Weightlifting,Shoulders,Beginner,,,,,,,,,,,
Seated EZ-bar shrug,Strength,Shoulders,Intermediate,,,,,,,,,,,
Paul Carter Barbell Seated Military Press,Strength,Shoulders,Intermediate,,,,,,,,,,,
TBS Barbell Military Press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Incline Front Barbell Raise - Gethin Variation,Strength,Shoulders,Intermediate,,,,,,,,,,,
Barbell Front Raise - Gethin Variation,Strength,Shoulders,Intermediate,,,,,,,,,,,
Single-arm barbell lateral raise,Strength,Shoulders,Intermediate,,,,,,,,,,,
AM Upright Row,Strength,Shoulders,Intermediate,,,,,,,,,,,
AM Barbell Shoulder Press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Standing barbell shoulder press,Strength,Shoulders,Intermediate,,,,,,,,,,,
King Maker Barbell Thruster,Strength,Shoulders,Intermediate,,,,,,,,,,,
Single-arm incline cable cross-over,Strength,Shoulders,Intermediate,,,,,,,,,,,
Barbell bear complex,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Barbell Shrug,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Incline Face-Up Straight-Bar Front Raise,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Seated Dumbbell Shoulder Press,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Standing Behind-The-Head Shoulder Press,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Standing Barbell Press,Strength,Shoulders,Intermediate,,,,,,,,,,,
FYR2 Wide Overhead Press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Single-arm kettlebell push-press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Two-Arm Kettlebell Military Press,Strength,Shoulders,Beginner,,,,,,,,,,,
Alternating Kettlebell Press,Strength,Shoulders,Beginner,,,,,,,,,,,
Single-arm kettlebell snatch,Strength,Shoulders,Intermediate,,,,,,,,,,,
Single-arm kettlebell clean and jerk,Strength,Shoulders,Intermediate,,,,,,,,,,,
Kettlebell pirate ship,Strength,Shoulders,Intermediate,,,,,,,,,,,
Two-Arm Kettlebell Clean,Strength,Shoulders,Beginner,,,,,,,,,,,
Double Kettlebell Push Press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Kettlebell Seated Press,Strength,Shoulders,Beginner,,,,,,,,,,,
Double Kettlebell Jerk,Strength,Shoulders,Beginner,,,,,,,,,,,
Kettlebell Arnold Press,Strength,Shoulders,Beginner,,,,,,,,,,,
Double-kettlebell windmill,Strength,Shoulders,Intermediate,,,,,,,,,,,
One-Arm Kettlebell Split Snatch,Strength,Shoulders,Beginner,,,,,,,,,,,
One-Arm Kettlebell Para Press,Strength,Shoulders,Beginner,,,,,,,,,,,
One-Arm Kettlebell Split Jerk,Strength,Shoulders,Beginner,,,,,,,,,,,
One-Arm Kettlebell Military Press To The Side,Strength,Shoulders,Beginner,,,,,,,,,,,
One-Arm Kettlebell Jerk,Strength,Shoulders,Beginner,,,,,,,,,,,
Double Kettlebell Snatch,Strength,Shoulders,Beginner,,,,,,,,,,,
Two-Arm Kettlebell Jerk,Strength,Shoulders,Beginner,,,,,,,,,,,
FYR Kettlebell Power Clean,Strength,Shoulders,Intermediate,,,,,,,,,,,
Kettlebell upright row,Strength,Shoulders,Intermediate,,,,,,,,,,,
Kettlebell upright row and press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Single-arm kettlebell thruster,Strength,Shoulders,Intermediate,,,,,,,,,,,
Double-kettlebell shoulder press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Double-kettlebell push-press,Strength,Shoulders,Intermediate,,,,,,,,,,,
HM Kettlebell Windmill,Strength,Shoulders,Intermediate,,,,,,,,,,,
