exercise_type,exercise_category,target_muscle_group,Difficulty,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
Leg press calf raise,Strength,Calves,Intermediate,,,,,,,,,,,
Machine seated calf raise,Strength,Calves,Intermediate,,,,,,,,,,,
30 Legs Seated Calf Raise,Strength,Calves,Intermediate,,,,,,,,,,,
30 Legs Standing Calf Raise,Strength,Calves,Intermediate,,,,,,,,,,,
Peroneals-SMR,Stretching,Calves,Intermediate,,,,,,,,,,,
Knee Circles,Stretching,Calves,Beginner,,,,,,,,,,,
Standing Gastrocnemius Calf Stretch,Stretching,Calves,Intermediate,,,,,,,,,,,
Wall calf stretch,Stretching,Calves,Intermediate,,,,,,,,,,,
Seated Calf Stretch,Stretching,Calves,Intermediate,,,,,,,,,,,
Standing Calf Raise,Strength,Calves,Intermediate,,,,,,,,,,,
Standing calf raise-,Strength,Calves,Intermediate,,,,,,,,,,,
HM Left Calf-Spike Sumo Pulse,Strength,Calves,Intermediate,,,,,,,,,,,
Ankle Circles,Stretching,Calves,Beginner,,,,,,,,,,,
Calf Stretch Elbows Against Wall,Stretching,Calves,Beginner,,,,,,,,,,,
Standing Soleus And Achilles Stretch,Stretching,Calves,Beginner,,,,,,,,,,,
Cross Over - With Bands,Strength,Chest,Beginner,,,,,,,,,,,
Bench Press - With Bands,Strength,Chest,Beginner,,,,,,,,,,,
Bench Press With Short Bands,Powerlifting,Chest,Beginner,,,,,,,,,,,
Feet-Elevated TRX Push-Up,Strength,Chest,Beginner,,,,,,,,,,,
Band-suspended kettlebell bench press,Strength,Chest,Intermediate,,,,,,,,,,,
HM Banded Cross-Over Pull,Strength,Chest,Intermediate,,,,,,,,,,,
Rusin Band Pull-Apart,Strength,Chest,Intermediate,,,,,,,,,,,
UNS Banded Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Taylor Band-Assisted One-Arm Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Incline band bench press,Strength,Chest,Intermediate,,,,,,,,,,,
Band push-up,Strength,Chest,Intermediate,,,,,,,,,,,
Band chest fly,Strength,Chest,Intermediate,,,,,,,,,,,
Close-grip bench press,Strength,Chest,Intermediate,,,,,,,,,,,
Barbell Bench Press - Medium Grip,Strength,Chest,Intermediate,,,,,,,,,,,
Decline barbell bench press,Strength,Chest,Intermediate,,,,,,,,,,,
Wide-grip bench press,Strength,Chest,Beginner,,,,,,,,,,,
Wide-Grip Decline Barbell Bench Press,Strength,Chest,Beginner,,,,,,,,,,,
Barbell Incline Bench Press Medium-Grip,Strength,Chest,Intermediate,,,,,,,,,,,
Neck Press,Strength,Chest,Beginner,,,,,,,,,,,
Front Raise And Pullover,Strength,Chest,Beginner,,,,,,,,,,,
Board bench press,Powerlifting,Chest,Intermediate,,,,,,,,,,,
Barbell Bench Press-Wide Grip,Strength,Chest,Beginner,,,,,,,,,,,
Wide-Grip Decline Barbell Pullover,Strength,Chest,Beginner,,,,,,,,,,,
Barbell Guillotine Bench Press,Strength,Chest,Beginner,,,,,,,,,,,
Band-suspended kettlebell bench press,Strength,Chest,Intermediate,,,,,,,,,,,
Paul Carter Incline Bench Press,Strength,Chest,Intermediate,,,,,,,,,,,
Incline bench press,Strength,Chest,Intermediate,,,,,,,,,,,
Bench press,Strength,Chest,Intermediate,,,,,,,,,,,
TBS Close-Grip Bench Press,Strength,Chest,Intermediate,,,,,,,,,,,
AM Flat Bench Barbell Press,Strength,Chest,Intermediate,,,,,,,,,,,
UP Bench Press,Strength,Chest,Intermediate,,,,,,,,,,,
UP Close-Grip Bench Press,Strength,Chest,Intermediate,,,,,,,,,,,
King Maker Barbell Bench Press,Strength,Chest,Intermediate,,,,,,,,,,,
King Maker Incline Barbell Bench Press,Strength,Chest,Intermediate,,,,,,,,,,,
30 Chest Incline Barbell Bench Press,Strength,Chest,Intermediate,,,,,,,,,,,
30 Chest Barbell Bench Press,Strength,Chest,Intermediate,,,,,,,,,,,
30 Chest 30-Degree Incline Dumbbell Press,Strength,Chest,Intermediate,,,,,,,,,,,
Spoto press,Strength,Chest,Intermediate,,,,,,,,,,,
Kettlebell plyo push-up,Strength,Chest,Intermediate,,,,,,,,,,,
Extended Range One-Arm Kettlebell Floor Press,Strength,Chest,Beginner,,,,,,,,,,,
Kettlebell alternating floor press,Strength,Chest,Beginner,,,,,,,,,,,
One-Arm Kettlebell Floor Press,Strength,Chest,Beginner,,,,,,,,,,,
Leg-Over Floor Press,Strength,Chest,Beginner,,,,,,,,,,,
Band-suspended kettlebell bench press,Strength,Chest,Intermediate,,,,,,,,,,,
FYR2 Push-Up to Kettlebell Hike Combo,Strength,Chest,Intermediate,,,,,,,,,,,
Pushups,Strength,Chest,Intermediate,,,,,,,,,,,
Incline Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Hands-elevated push-up,Strength,Chest,Beginner,,,,,,,,,,,
Decline Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Single-Arm Push-Up,Strength,Chest,Beginner,,,,,,,,,,,
Close push-up to wide push-up,Strength,Chest,Intermediate,,,,,,,,,,,
Wide-grip hands-elevated push-up,Strength,Chest,Beginner,,,,,,,,,,,
Push-Ups With Feet On An Exercise Ball,Strength,Chest,Intermediate,,,,,,,,,,,
Feet-elevated push-up,Strength,Chest,Intermediate,,,,,,,,,,,
Isometric Wipers,Strength,Chest,Beginner,,,,,,,,,,,
Clock push-up,Strength,Chest,Beginner,,,,,,,,,,,
Incline Push-Up Depth Jump,Plyometrics,Chest,Intermediate,,,,,,,,,,,
Push-Up Wide,Strength,Chest,Beginner,,,,,,,,,,,
Sphinx push-up,Strength,Chest,Intermediate,,,,,,,,,,,
Close-Hands Push-Up,Strength,Chest,Beginner,,,,,,,,,,,
Tiger-bend push-up,Strength,Chest,Beginner,,,,,,,,,,,
Plyo push-up,Plyometrics,Chest,Beginner,,,,,,,,,,,
Close-grip hands-elevated push-up,Strength,Chest,Intermediate,,,,,,,,,,,
Suspended push-up,Strength,Chest,Intermediate,,,,,,,,,,,
Push Up to Side Plank,Strength,Chest,Intermediate,,,,,,,,,,,
Isometric Chest Squeezes,Plyometrics,Chest,Beginner,,,,,,,,,,,
Side-to-side push-up,Strength,Chest,Beginner,,,,,,,,,,,
Typewriter push-up,Strength,Chest,Beginner,,,,,,,,,,,
Diamond push-up,Strength,Chest,Intermediate,,,,,,,,,,,
Judo push-up,Strength,Chest,Beginner,,,,,,,,,,,
Superman Push-Up,Plyometrics,Chest,Beginner,,,,,,,,,,,
Wide push-up,Strength,Chest,Beginner,,,,,,,,,,,
One-Arm Push-Up,Strength,Chest,Beginner,,,,,,,,,,,
Clapping Push-Up,Plyometrics,Chest,Beginner,,,,,,,,,,,
Staggered push-up,Strength,Chest,Beginner,,,,,,,,,,,
Reverse-grip hands-elevated push-up,Strength,Chest,Beginner,,,,,,,,,,,
Triple Clap Push-Up,Plyometrics,Chest,Beginner,,,,,,,,,,,
Side kick-through push-up,Strength,Chest,Intermediate,,,,,,,,,,,
Swimming,Cardio,Chest,Intermediate,,,,,,,,,,,
FYR Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Frog push-up,Strength,Chest,Intermediate,,,,,,,,,,,
Wide push-up plank hold,Strength,Chest,Intermediate,,,,,,,,,,,
Close push-up,Strength,Chest,Intermediate,,,,,,,,,,,
Push-Up - Gethin Variation,Strength,Chest,Intermediate,,,,,,,,,,,
HM Incline Push-Up On Chair,Strength,Chest,Intermediate,,,,,,,,,,,
HM Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
HM Push-Plank,Strength,Chest,Intermediate,,,,,,,,,,,
AM Chest Dips,Strength,Chest,Intermediate,,,,,,,,,,,
Push-up,Strength,Chest,Intermediate,,,,,,,,,,,
UP Push-up,Strength,Chest,Intermediate,,,,,,,,,,,
UN Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
UNS Foam Roll Pecs,Strength,Chest,Intermediate,,,,,,,,,,,
UN Hands Elevated Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Holman Seal Drag to Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Holman Hand-Elevated Push-Up with Hand Row,Strength,Chest,Intermediate,,,,,,,,,,,
Holman Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Holman Slow Hips-Up Chest Press,Strength,Chest,Intermediate,,,,,,,,,,,
Holman Jump-Out Push-Up with Hand Hop Back,Strength,Chest,Intermediate,,,,,,,,,,,
Holman Froggy Push-Up to Donkey Kick,Strength,Chest,Intermediate,,,,,,,,,,,
Holman Push-Up to Sit Back,Strength,Chest,Intermediate,,,,,,,,,,,
Holman Sit Back Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Holman Alternating Staggered Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Holman Foot-Up Diving Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Holman Narrow Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Holman Dynamo Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Holman Jump to Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Holman Foot-Elevated Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Holman Feet-Elevated Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Total Fitness Plyo Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Scapular push-up,Strength,Chest,Intermediate,,,,,,,,,,,
King Maker Push-up,Strength,Chest,Intermediate,,,,,,,,,,,
Warrior push-up,Strength,Chest,Intermediate,,,,,,,,,,,
Taylor Roll-Over Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Taylor One-Arm Push-Up Slow Negative,Strength,Chest,Intermediate,,,,,,,,,,,
30 Chest Push-Up To Isometric Hold,Strength,Chest,Intermediate,,,,,,,,,,,
30 Chest Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
30 Chest Bench Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
MetaBurn 3-Phase Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
MetaBurn Fast Feet To Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
MetaBurn Judo Push-Up To Pike Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
MetaBurn Pike Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
MetaBurn Push-Up To Frogger,Strength,Chest,Intermediate,,,,,,,,,,,
MetaBurn Push-Up With Hand Side-Step,Strength,Chest,Intermediate,,,,,,,,,,,
MetaBurn Push-Up With Hand-Up Rotation,Strength,Chest,Intermediate,,,,,,,,,,,
MetaBurn Sphinx Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
MetaBurn Spiderman Push-Up,Strength,Chest,Intermediate,,,,,,,,,,,
Roberston Push-up to Down Dog,Strength,Chest,Intermediate,,,,,,,,,,,
FYR2 Push-Up-Breakdancer-Shoulder-Tap Complex,Strength,Chest,Intermediate,,,,,,,,,,,
ACFT Hand-release push-up,Strength,Chest,Intermediate,,,,,,,,,,,
