exercise_type,exercise_category,target_muscle_group,Difficulty,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
Landmine Press and Catch,Strength,Forearms,Intermediate,,,,,,,,,,,
Plate halo,Strength,Forearms,Intermediate,,,,,,,,,,,
Bryant Wrist Curl,Strength,Forearms,Intermediate,,,,,,,,,,,
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Strength,Forearms,Beginner,,,,,,,,,,,
Cable Wrist Curl,Strength,Forearms,Beginner,,,,,,,,,,,
Single-arm cable push-down,Strength,Forearms,Intermediate,,,,,,,,,,,
Wrist Circles,Stretching,Forearms,Beginner,,,,,,,,,,,
Kneeling Forearm Stretch,Stretching,Forearms,Beginner,,,,,,,,,,,
Hip Extension with Bands,Strength,Glutes,Beginner,,,,,,,,,,,
Hip Lift with Band,Powerlifting,Glutes,Beginner,,,,,,,,,,,
HM Monster Walk,Strength,Glutes,Intermediate,,,,,,,,,,,
UNS Banded Glute Bridge,Strength,Glutes,Intermediate,,,,,,,,,,,
FYR2 Banded Glute Bridge,Strength,Glutes,Intermediate,,,,,,,,,,,
Piriformis SMR,Stretching,Glutes,Intermediate,,,,,,,,,,,
Barbell glute bridge,Powerlifting,Glutes,Intermediate,,,,,,,,,,,
Barbell Hip Thrust,Powerlifting,Glutes,Intermediate,,,,,,,,,,,
Kneeling Squat,Powerlifting,Glutes,Beginner,,,,,,,,,,,
Kneeling Jump Squat,Olympic Weightlifting,Glutes,Beginner,,,,,,,,,,,
UN Rear Foot Elevated Split Squat,Strength,Glutes,Intermediate,,,,,,,,,,,
Kettlebell thruster,Strength,Glutes,Intermediate,,,,,,,,,,,
Taylor Kettlebell Swing,Strength,Glutes,Intermediate,,,,,,,,,,,
UN Goblet Squat,Strength,Glutes,Intermediate,,,,,,,,,,,
Single-arm triceps kick-back,Strength,Glutes,Intermediate,,,,,,,,,,,
Holman Lateral High Knees to Quad Touch Jump,Strength,Glutes,Intermediate,,,,,,,,,,,
FYR2 Dumbbell Hip Thrust,Strength,Glutes,Intermediate,,,,,,,,,,,
FYR2 Glute Bridge Dumbbell Floor Press,Strength,Glutes,Intermediate,,,,,,,,,,,
Suspended Hip Thrust,Strength,Glutes,Beginner,,,,,,,,,,,
Single-leg cable hip extension,Strength,Glutes,Intermediate,,,,,,,,,,,
Pull Through,Strength,Glutes,Beginner,,,,,,,,,,,
Cable rope pull-through deadlift,Strength,Glutes,Intermediate,,,,,,,,,,,
UNS Cable Pull-Through,Strength,Glutes,Intermediate,,,,,,,,,,,
30 Legs Glute-Ham Raise,Strength,Glutes,Intermediate,,,,,,,,,,,
Glute bridge,Strength,Glutes,Intermediate,,,,,,,,,,,
Single-leg glute bridge,Strength,Glutes,Intermediate,,,,,,,,,,,
Step-up with knee raise,Strength,Glutes,Intermediate,,,,,,,,,,,
Glute Kickback,Strength,Glutes,Beginner,,,,,,,,,,,
Standing hip extension,Strength,Glutes,Beginner,,,,,,,,,,,
Lying glute stretch,Stretching,Glutes,Intermediate,,,,,,,,,,,
Knee Across The Body,Stretching,Glutes,Intermediate,,,,,,,,,,,
