exercise_type,exercise_category,target_muscle_group,Difficulty,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
Leg extension,Strength,Quadriceps,Intermediate,,,,,,,,,,,
UP Quad Extension,Strength,Quadriceps,Intermediate,,,,,,,,,,,
UP Single-Leg Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
UP Leg Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Pop Squat On Leg Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
King Maker Leg Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Single-leg leg press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
King Maker Hack Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
30 Legs Feet-High Leg Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
30 Legs Leg Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
30 Legs Leg Press Calf Raise,Strength,Quadriceps,Intermediate,,,,,,,,,,,
30 Legs Lying Leg Curl,Strength,Quadriceps,Intermediate,,,,,,,,,,,
30 Legs Machine Hack Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
30 Legs Single-Leg Leg Extension,Strength,Quadriceps,Intermediate,,,,,,,,,,,
30 Legs Single-Leg Leg Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
30 Legs Single-Leg Lying Leg Curl,Strength,Quadriceps,Intermediate,,,,,,,,,,,
30 Legs Smith Machine Split Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
30 Legs Smith Machine Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Jumping rope,Cardio,Quadriceps,Intermediate,,,,,,,,,,,
Forward lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Side-to-side box skip,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Bodyweight squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Broad jump,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Burpee,Cardio,Quadriceps,Intermediate,,,,,,,,,,,
Trail Running/Walking,Cardio,Quadriceps,Intermediate,,,,,,,,,,,
Scissors Jump,Plyometrics,Quadriceps,Expert,,,,,,,,,,,
Jumping jack-,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Arms-crossed jump squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Bodyweight Reverse Lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Alien Squat,Plyometrics,Quadriceps,Beginner,,,,,,,,,,,
Treadmill walking,Cardio,Quadriceps,Intermediate,,,,,,,,,,,
Rocket Jump,Plyometrics,Quadriceps,Beginner,,,,,,,,,,,
Depth jump box jump,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Bodyweight Walking Lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Walking High Knees,Cardio,Quadriceps,Intermediate,,,,,,,,,,,
Lateral lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Jump Squat,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Over bench jump,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Split Jump,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
90-degree jump squat,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Skip,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Kneeling hip flexor stretch,Stretching,Quadriceps,Intermediate,,,,,,,,,,,
Iron Crosses (stretch),Stretching,Quadriceps,Intermediate,,,,,,,,,,,
All Fours Quad Stretch,Stretching,Quadriceps,Beginner,,,,,,,,,,,
Lying quad stretch with band,Stretching,Quadriceps,Intermediate,,,,,,,,,,,
One Half Locust,Stretching,Quadriceps,Intermediate,,,,,,,,,,,
Standing Hip Flexors,Stretching,Quadriceps,Intermediate,,,,,,,,,,,
Looking At Ceiling,Stretching,Quadriceps,Intermediate,,,,,,,,,,,
Rear Leg Raises,Stretching,Quadriceps,Beginner,,,,,,,,,,,
On Your Side Quad Stretch,Stretching,Quadriceps,Intermediate,,,,,,,,,,,
On-Your-Back Quad Stretch,Stretching,Quadriceps,Intermediate,,,,,,,,,,,
Standing Elevated Quad Stretch,Stretching,Quadriceps,Intermediate,,,,,,,,,,,
Thigh killa,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Southpaw sprawl,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Stride Jump Crossover,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Side Standing Long Jump,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Wall squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Slide Jump Shot,Plyometrics,Quadriceps,Beginner,,,,,,,,,,,
Sprawl frog kick,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Lateral Speed Step,Cardio,Quadriceps,Intermediate,,,,,,,,,,,
Side Hop-Sprint,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Pop squat,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Star Jump,Plyometrics,Quadriceps,Beginner,,,,,,,,,,,
Side Lunge Touching Heel,Strength,Quadriceps,Intermediate,,,,,,,,,,,
