exercise_type,exercise_category,target_muscle_group,Difficulty,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
Eiffel Tower leg raise,Strength,Abdominals,Intermediate,,,,,,,,,,,
Straight-arm plank,Strength,Abdominals,Intermediate,,,,,,,,,,,
Plank up-down,Strength,Abdominals,Intermediate,,,,,,,,,,,
Frog kick,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR Knees to Chest,Strength,Abdominals,Intermediate,,,,,,,,,,,
Front kick-through,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR Sit-Up,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR Leg Lift,Strength,Abdominals,Intermediate,,,,,,,,,,,
TBS Toes-to-bar,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR Mountain Climber,Strength,Abdominals,Intermediate,,,,,,,,,,,
Roman Chair Side Ups,Strength,Abdominals,Intermediate,,,,,,,,,,,
Push-Up Roll Out - Gethin Variation,Strength,Abdominals,Intermediate,,,,,,,,,,,
Cross-Body Crunch - Gethin Variation,Strength,Abdominals,Intermediate,,,,,,,,,,,
Decline leg lift with twist,Strength,Abdominals,Intermediate,,,,,,,,,,,
Hanging Leg Raise - Variation Gethin,Strength,Abdominals,Intermediate,,,,,,,,,,,
Butterfly crunch,Strength,Abdominals,Intermediate,,,,,,,,,,,
Cross-body mountain climber,Strength,Abdominals,Intermediate,,,,,,,,,,,
Flat Bench Lying Leg Raise - Gethin Variation,Strength,Abdominals,Intermediate,,,,,,,,,,,
Lying leg lift,Strength,Abdominals,Intermediate,,,,,,,,,,,
Hanging alternating single-leg raise,Strength,Abdominals,Intermediate,,,,,,,,,,,
Plank Walk,Strength,Abdominals,Intermediate,,,,,,,,,,,
Sit-Up - Gethin Variation,Strength,Abdominals,Intermediate,,,,,,,,,,,
Plank Push-Up,Strength,Abdominals,Intermediate,,,,,,,,,,,
Decline crunch-,Strength,Abdominals,Intermediate,,,,,,,,,,,
Alternating lying leg raise,Strength,Abdominals,Intermediate,,,,,,,,,,,
Decline leg lift,Strength,Abdominals,Intermediate,,,,,,,,,,,
Crunch - Gethin Variation,Strength,Abdominals,Intermediate,,,,,,,,,,,
Plank - Gethin Variation,Strength,Abdominals,Intermediate,,,,,,,,,,,
Barbell floor wiper,Strength,Abdominals,Intermediate,,,,,,,,,,,
Prison Push-Up,Strength,Abdominals,Intermediate,,,,,,,,,,,
McGill Modified Curl-Up,Strength,Abdominals,Intermediate,,,,,,,,,,,
Cross-body toe-touch,Strength,Abdominals,Intermediate,,,,,,,,,,,
Toy soldier,Strength,Abdominals,Intermediate,,,,,,,,,,,
Natural Glute Ham Raise with Stability Ball,Strength,Abdominals,Intermediate,,,,,,,,,,,
Lateral ape,Strength,Abdominals,Intermediate,,,,,,,,,,,
Hollow-body knee tuck,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Air Jumping Rope,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Alternating Lunge Reach,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Alternating Side Plank Reach,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Superman Plank,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Table Pose,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Toe Touch,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Right Side Bird-Dog,Stretching,Abdominals,Intermediate,,,,,,,,,,,
HM Right Side Crunch,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Bicycle,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Bird-Dog Plank,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Boat Pose,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Bottoms Up,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Bridge,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Running Man Crunch,Cardio,Abdominals,Intermediate,,,,,,,,,,,
HM Seated Twist,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Side-Bend Pose,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Side-Plank Arm Wrap,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Side-Plank with Hip Touch,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Side-Plank with Kick,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Side V-Up,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Crab Crunch,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Cross-Over Crunch,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Crunch Pulse,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Dead Bug,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Single-Leg Inchworm,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Floor Jack,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Floor Wiper,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Floor Kick,Strength,Abdominals,Intermediate,,,,,,,,,,,
HM Sit-Up,Strength,Abdominals,Intermediate,,,,,,,,,,,
