exercise_type,exercise_category,target_muscle_group,Difficulty,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
Cable seated row,Strength,Shoulders,Intermediate,,,,,,,,,,,
Single-arm cable lateral raise,Strength,Shoulders,Intermediate,,,,,,,,,,,
UP Cable Face Pull,Strength,Shoulders,Intermediate,,,,,,,,,,,
AA Cable Leaning Side Raise,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Bent-Over Low Cable Reverse Fly,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Cable Rope Face Pull,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Cable Straight-Bar Front Raise,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Cable Straight-Bar Upright Row,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders High Cable Reverse Fly,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Single-Arm Bent-Over Cable Reverse Fly,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Single-Arm Cable Front Raise,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Single-Arm Leaning Cable Lateral Raise,Strength,Shoulders,Intermediate,,,,,,,,,,,
RG 3-Way Single-Arm Rear Delt Cable Fly,Strength,Shoulders,Intermediate,,,,,,,,,,,
RG Single-Arm Cross-Body Cable Front Raise,Strength,Shoulders,Intermediate,,,,,,,,,,,
Smith machine shoulder press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Machine shoulder press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Reverse Machine Flyes,Strength,Shoulders,Intermediate,,,,,,,,,,,
Single-arm Smith machine upright row,Strength,Shoulders,Intermediate,,,,,,,,,,,
Machine Lateral Raise,Strength,Shoulders,Intermediate,,,,,,,,,,,
Smith machine behind-the-neck press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Smith Machine Behind-The-Neck Press - Gethin Variation,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Leg Press Shoulder Press,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Machine Shoulder Press,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Pec-Deck Reverse Fly,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Smith Machine Behind-The-Head Press,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders Smith Machine Shoulder Press,Strength,Shoulders,Intermediate,,,,,,,,,,,
Handstand push-up,Strength,Shoulders,Intermediate,,,,,,,,,,,
Upward Stretch,Stretching,Shoulders,Intermediate,,,,,,,,,,,
Shoulder Circles,Stretching,Shoulders,Intermediate,,,,,,,,,,,
Cross-body shoulder stretch,Stretching,Shoulders,Intermediate,,,,,,,,,,,
Arm circle,Stretching,Shoulders,Intermediate,,,,,,,,,,,
Seated Front Deltoid,Stretching,Shoulders,Beginner,,,,,,,,,,,
Shoulder Raise,Stretching,Shoulders,Intermediate,,,,,,,,,,,
Hand Stand Push-Up,Strength,Shoulders,Intermediate,,,,,,,,,,,
Wall walk,Strength,Shoulders,Intermediate,,,,,,,,,,,
Return Push from Stance,Plyometrics,Shoulders,Intermediate,,,,,,,,,,,
Wall shoulder tap,Strength,Shoulders,Intermediate,,,,,,,,,,,
Bear crawl shoulder tap,Strength,Shoulders,Intermediate,,,,,,,,,,,
Shadow boxing,Cardio,Shoulders,Intermediate,,,,,,,,,,,
Bear crawl fire feet,Cardio,Shoulders,Intermediate,,,,,,,,,,,
Wall sprawl,Plyometrics,Shoulders,Intermediate,,,,,,,,,,,
Bent Over Shoulder Y,Stretching,Shoulders,Intermediate,,,,,,,,,,,
Shoulder L,Strength,Shoulders,Intermediate,,,,,,,,,,,
Shoulder Dislocation Stretch-Dowel,Stretching,Shoulders,Intermediate,,,,,,,,,,,
TBS Inverted Row,Strength,Shoulders,Intermediate,,,,,,,,,,,
PVC Shoulder Stretch,Stretching,Shoulders,Intermediate,,,,,,,,,,,
Shoulder T,Stretching,Shoulders,Intermediate,,,,,,,,,,,
HM Arm Circle,Strength,Shoulders,Intermediate,,,,,,,,,,,
HM Shoulder Stretch,Stretching,Shoulders,Intermediate,,,,,,,,,,,
HM Shoulder Stretch on Floor,Stretching,Shoulders,Intermediate,,,,,,,,,,,
HM Shoulder Tap,Stretching,Shoulders,Intermediate,,,,,,,,,,,
HM Hand-On-Wall Stretch,Strength,Shoulders,Intermediate,,,,,,,,,,,
HM Jumping Arm Circle,Strength,Shoulders,Intermediate,,,,,,,,,,,
Kipping Clapping Pull-Up,Strength,Shoulders,Intermediate,,,,,,,,,,,
Holman Kneeling Overhead Press to Donkey Kick,Strength,Shoulders,Intermediate,,,,,,,,,,,
Floor angel,Strength,Shoulders,Intermediate,,,,,,,,,,,
Shoulder extension stretch,Strength,Shoulders,Intermediate,,,,,,,,,,,
Backward Medicine Ball Throw,Plyometrics,Shoulders,Beginner,,,,,,,,,,,
Medicine ball scoop throw,Plyometrics,Shoulders,Intermediate,,,,,,,,,,,
Standing Two-Arm Overhead Throw,Plyometrics,Shoulders,Beginner,,,,,,,,,,,
Incline face-down bar front raise,Strength,Shoulders,Intermediate,,,,,,,,,,,
Incline anti-gravity shoulder press,Strength,Shoulders,Intermediate,,,,,,,,,,,
30 Shoulders EZ-Bar Front Raise,Strength,Shoulders,Intermediate,,,,,,,,,,,
Side Wrist Pull,Stretching,Shoulders,Beginner,,,,,,,,,,,
Elbow Circles,Stretching,Shoulders,Beginner,,,,,,,,,,,
Kneeling Arm Drill,Plyometrics,Shoulders,Beginner,,,,,,,,,,,
Bent-over shoulder rotation,Strength,Shoulders,Intermediate,,,,,,,,,,,
Band overhead triceps press,Strength,Triceps,Intermediate,,,,,,,,,,,
Band overhead triceps extension,Strength,Triceps,Intermediate,,,,,,,,,,,
Band straight-arm pull-down,Strength,Triceps,Intermediate,,,,,,,,,,,
Band skullcrusher,Strength,Triceps,Intermediate,,,,,,,,,,,
