exercise_type,exercise_category,target_muscle_group,Difficulty,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
Barbell back squat to box,Powerlifting,Quadriceps,Intermediate,,,,,,,,,,,
Push-press,Olympic Weightlifting,Quadriceps,Intermediate,,,,,,,,,,,
Power snatch-,Olympic Weightlifting,Quadriceps,Expert,,,,,,,,,,,
Hang Clean,Olympic Weightlifting,Quadriceps,Beginner,,,,,,,,,,,
Barbell walking lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Olympic Squat,Olympic Weightlifting,Quadriceps,Beginner,,,,,,,,,,,
Narrow-stance squat,Strength,Quadriceps,Expert,,,,,,,,,,,
Box Squat with Bands,Powerlifting,Quadriceps,Beginner,,,,,,,,,,,
Weighted Jump Squat,Strength,Quadriceps,Beginner,,,,,,,,,,,
Squat with Chains,Powerlifting,Quadriceps,Beginner,,,,,,,,,,,
Barbell Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Barbell front squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Barbell forward lunge,Strength,Quadriceps,Expert,,,,,,,,,,,
Smith machine box squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Barbell step-up,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Barbell Bulgarian split squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Hang Clean - Below the Knees,Olympic Weightlifting,Quadriceps,Beginner,,,,,,,,,,,
Barbell hack squat,Strength,Quadriceps,Expert,,,,,,,,,,,
Hack Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Barbell thruster,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Split Jerk,Olympic Weightlifting,Quadriceps,Beginner,,,,,,,,,,,
Push-jerk,Olympic Weightlifting,Quadriceps,Intermediate,,,,,,,,,,,
Barbell back squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Zercher squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Jefferson Squats,Strength,Quadriceps,Beginner,,,,,,,,,,,
Jerk Dip Squat,Olympic Weightlifting,Quadriceps,Beginner,,,,,,,,,,,
Barbell side split squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Frankenstein Squat,Olympic Weightlifting,Quadriceps,Beginner,,,,,,,,,,,
Barbell speed squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Single-arm side deadlift,Strength,Quadriceps,Expert,,,,,,,,,,,
Barbell Squat To A Bench,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Clean Pull,Olympic Weightlifting,Quadriceps,Beginner,,,,,,,,,,,
Front Barbell Squat To A Bench,Strength,Quadriceps,Beginner,,,,,,,,,,,
Barbell reverse lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Split Clean,Olympic Weightlifting,Quadriceps,Beginner,,,,,,,,,,,
Close-stance dumbbell front squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Front Squat (Clean Grip),Strength,Quadriceps,Beginner,,,,,,,,,,,
Barbell front squat to back squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Squat Jerk,Strength,Quadriceps,Beginner,,,,,,,,,,,
Barbell Front-To-Back Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Box Squat with Chains,Strength,Quadriceps,Beginner,,,,,,,,,,,
Snatch from Blocks,Olympic Weightlifting,Quadriceps,Beginner,,,,,,,,,,,
Power Snatch from Blocks,Olympic Weightlifting,Quadriceps,Beginner,,,,,,,,,,,
Front Squat (Bodybuilder),Strength,Quadriceps,Intermediate,,,,,,,,,,,
Barbell step-down reverse lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Squat with Bands,Powerlifting,Quadriceps,Beginner,,,,,,,,,,,
Heaving Snatch Balance,Olympic Weightlifting,Quadriceps,Beginner,,,,,,,,,,,
Snatch Balance,Olympic Weightlifting,Quadriceps,Beginner,,,,,,,,,,,
Reverse Band Power Squat,Powerlifting,Quadriceps,Beginner,,,,,,,,,,,
Paul Carter Back Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Paul Carter Barbell Split Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
TBS High-Bar Back Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
TBS Barbell Front Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Squat - Gethin Variation,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Front-To-Back Barbell Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Barbell Lunge - Gethin Variation,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Rack Deadlift - Gethin Variation,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Barbell Squat - Gethin Variation,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Barbell Good Morning - Gethin Variation,Strength,Quadriceps,Intermediate,,,,,,,,,,,
AM Barbell Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Plyometric Power Clean,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Banded Split Jerk,Strength,Quadriceps,Intermediate,,,,,,,,,,,
UP Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
UN Barbell Back Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
UN Barbell Box Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
UN Barbell Front Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
KV Bulgarian Split Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
King Maker Barbell Back Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
King Maker Barbell Deadlift,Strength,Quadriceps,Intermediate,,,,,,,,,,,
30 Legs Barbell Back Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
30 Legs Barbell Front Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Barbell Back Squats,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Front Squats With Two Kettlebells,Strength,Quadriceps,Beginner,,,,,,,,,,,
Kettlebell Pistol Squat,Strength,Quadriceps,Beginner,,,,,,,,,,,
Goblet Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Kettlebell Curtsy Lunge,Strength,Quadriceps,Beginner,,,,,,,,,,,
Single-arm kettlebell overhead squat,Strength,Quadriceps,Expert,,,,,,,,,,,
Kettlebell side squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Kettlebell sumo squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Kettlebell thruster progression,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Kettlebell power clean,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Kettlebell fire feet,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Single Arm Overhead Kettlebell Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Pulsing goblet squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Double-kettlebell alternating lunge to clean,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR Goblet Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR Kettlebell Sumo Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Double-kettlebell front squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR Kettlebell Squat Clean,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Single-arm kettlebell front squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Kettlebell front rack lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
HM Turkish Get-Up,Strength,Quadriceps,Intermediate,,,,,,,,,,,
HM Single-Leg Romanian Deadlift,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Taylor Single-Arm Kettlebell Front Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Taylor Kettlebell Goblet Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Goblet squat-,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Kettlebell Squat Clean,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Kettlebell Swing,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Kettlebell Swing Transfer,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell goblet squat-,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Robertson Kettlebell Jump,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Alternating Kettlebell Squat Clean,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Banded Double-Kettlebell Squat Pulse,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Double-Kettlebell Ballin' Lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Double-Kettlebell Front Rack Lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Double-Kettlebell Front Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Explosive Kettlebell Jump Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Kettlebell Goblet Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Kettlebell Reverse Lunge Switch Grip,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Kettlebell Reverse Lunge to Kneeling Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Kettlebell Sumo Squat Pulse,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Reverse Lunge to Single-Leg Kettlebell Deadlift,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Kettlebell Goblet-Squat-Deadlift Complex,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Kettlebell Squat-Press-Deadlift Complex,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Goblet Squats,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell Goblet Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell Lunges,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell reverse lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Split Squat with Dumbbells,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell sumo squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell seated box jump,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell step-up,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell Walking Lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell Squat To A Bench,Strength,Quadriceps,Beginner,,,,,,,,,,,
Dumbbell thruster,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell front squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Single-Arm Dumbbell Overhead Squat,Strength,Quadriceps,Beginner,,,,,,,,,,,
Dumbbell lateral hop,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell lunge with biceps curl,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell Pistol Squat,Strength,Quadriceps,Beginner,,,,,,,,,,,
Dumbbell Squat Snatch,Strength,Quadriceps,Beginner,,,,,,,,,,,
Dumbbell Alternating Lunge,Strength,Quadriceps,Beginner,,,,,,,,,,,
Dumbbell jump squat,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell Side Lunge,Strength,Quadriceps,Beginner,,,,,,,,,,,
Boss Everline Dumbbell Lunge Jump,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell Fix Dumbbell Split Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Single-leg dumbbell Romanian deadlift,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell Fix Dumbbell Alternating Reverse Lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell Fix Turkish Get-Up,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Seesaw lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR Dumbbell Front Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell split squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell deadlift,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Single-arm stiff-legged deadlift,Strength,Quadriceps,Intermediate,,,,,,,,,,,
HM Dumbbell Overhead Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
HM Dumbbell Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
UNS Dumbbell Goblet Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Single-Arm Dumbbell Snatch,Strength,Quadriceps,Intermediate,,,,,,,,,,,
KV Dumbbell Lunges,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Squat to Biceps Curl,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Burpee to Biceps Curl,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Slow Weighted Reverse Lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Slow Weighted Plie Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Lunge Jump with Biceps Curl,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Left Reverse Lunge Chest Press to Left Knee-Up Chest Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Lunge Jump with Chest Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Half Jack to Biceps Curl,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Half Jack to Chest Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman 180 Jump to Renegade Side Raise,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Right Reverse Lunge Biceps Curl to Right Knee-Up Biceps Curl,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Roll-Back to Squat Thrust to Renegade Row,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Roll-Back to Squat Thrust to Renegade Triceps Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Narrow Squat Jump,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Diagonal Deadlift,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Burpee to Triceps Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Squat Thrust Overhead Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Burpee to Chest Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Squat to Right-Arm Overhead Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Right Lunge Jump with Right Overhead Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Left Lunge Jump with Left Overhead Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Heavy Hip Drive,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Squat to Left-Arm Overhead Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Lunge Jump to Floor Lunge Jump,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Alternating Weighted Lunge Jump to Chest Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Burpee to Overhead Alternating Reverse Lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted 180 Jump to Chest Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Alternating Side Squat Overhead Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Right Lunge with Right Biceps Curl,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Left Lunge with Left Biceps Curl,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Squat Thrust to Alternating Front Raise,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell racked reverse lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Total Fitness Dumbbell Reverse Lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Single-arm dumbbell snatch-,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Total Fitness Dumbbell Step-Up,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Single-arm dumbbell front squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
King Maker Weighted Jump Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
3D dumbbell lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
MetaBurn Dumbbell Burpee,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell jump squat with rotation,Strength,Quadriceps,Intermediate,,,,,,,,,,,
MetaBurn Dumbbell Wide Squat to Rack,Strength,Quadriceps,Intermediate,,,,,,,,,,,
MetaBurn Reverse Lunge To High Pull,Strength,Quadriceps,Intermediate,,,,,,,,,,,
MetaBurn Reverse Lunge With Overhead Raise,Strength,Quadriceps,Intermediate,,,,,,,,,,,
MetaBurn Squat to Triceps Extension,Strength,Quadriceps,Intermediate,,,,,,,,,,,
30 Legs Dumbbell Goblet Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
30 Legs Dumbbell Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell step-down reverse lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Tire flip,Strongman,Quadriceps,Intermediate,,,,,,,,,,,
Single Leg Push-off,Plyometrics,Quadriceps,Beginner,,,,,,,,,,,
Bear crawl sled drag,Strongman,Quadriceps,Intermediate,,,,,,,,,,,
Bicycling,Cardio,Quadriceps,Intermediate,,,,,,,,,,,
Hex-bar deadlift,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Skating,Cardio,Quadriceps,Beginner,,,,,,,,,,,
Weighted sissy squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell step-up,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Yoke Walk,Strongman,Quadriceps,Beginner,,,,,,,,,,,
Front Cone Hops (or hurdle hops),Plyometrics,Quadriceps,Beginner,,,,,,,,,,,
Weighted Squat,Strength,Quadriceps,Beginner,,,,,,,,,,,
Bench skip,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Backward Drag,Strongman,Quadriceps,Beginner,,,,,,,,,,,
Sled Push,Strongman,Quadriceps,Intermediate,,,,,,,,,,,
Barbell squat with plate slide,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Suspended split squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Intermediate Hip Flexor and Quad Stretch,Stretching,Quadriceps,Beginner,,,,,,,,,,,
Sled Drag - Harness,Strongman,Quadriceps,Intermediate,,,,,,,,,,,
Burpee over barbell,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell walking lunge-,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Single-Leg Box Jump,Plyometrics,Quadriceps,Beginner,,,,,,,,,,,
Conan's Wheel,Strongman,Quadriceps,Beginner,,,,,,,,,,,
Single-Leg Hop Progression,Plyometrics,Quadriceps,Beginner,,,,,,,,,,,
Rickshaw Deadlift,Strongman,Quadriceps,Beginner,,,,,,,,,,,
Single-cone sprint drill,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Single-Leg Stride Jump,Plyometrics,Quadriceps,Beginner,,,,,,,,,,,
Trap Bar Jump,Plyometrics,Quadriceps,Beginner,,,,,,,,,,,
Single-Leg Lateral Hop,Plyometrics,Quadriceps,Beginner,,,,,,,,,,,
Burpee Box-Jumps,Plyometrics,Quadriceps,Intermediate,,,,,,,,,,,
Sandbag Load,Strongman,Quadriceps,Beginner,,,,,,,,,,,
Single-leg knee-tap squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Car Deadlift,Strongman,Quadriceps,Beginner,,,,,,,,,,,
Barbell Squat To A Box,Strength,Quadriceps,Beginner,,,,,,,,,,,
Double Under,Cardio,Quadriceps,Beginner,,,,,,,,,,,
Plate push,Cardio,Quadriceps,Intermediate,,,,,,,,,,,
Hybrid deadlift,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Boss Everline Suspension Side Run,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Boss Everline Lunge Sled Push,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Squat Bottom Position Hold,Strength,Quadriceps,Intermediate,,,,,,,,,,,
TRX Squat Jump,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Landmine squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Dumbbell Bulgarian split squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Towel Alternating Prisoner Reverse Lunge,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Burpee to Belly Touch,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Burpee to Front Punch,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Low Squat Punch,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Hook Punch to Squat Thrust,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Towel Alternating Side Lunge Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Burpee to Renegade Side Punch,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Reverse Lunge to Knee-Up Overhead Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Lunge Jump with Overhead Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Burpee to Belly Touch to Standing T,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Squat Jump,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Plie Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Heels-Elevated Sissy Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Squat Jump to Overhead Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman 180 Jump to Overhead Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Burpee to Row,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Burpee to 180 Jump,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted 180 Jump,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Weighted Narrow-Mid-Wide Hop,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Alternating Weighted Diagonal Burpee,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Towel Burpee to Push-Up,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Holman Towel Right Side Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
ACFT Sprint-drag-carry,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Cable Hip Adduction,Strength,Quadriceps,Beginner,,,,,,,,,,,
Cable Deadlifts,Strength,Quadriceps,Beginner,,,,,,,,,,,
KV Cable Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Single-Leg Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Stair climber,Cardio,Quadriceps,Intermediate,,,,,,,,,,,
Leg Press,Strength,Quadriceps,Intermediate,,,,,,,,,,,
